Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                                         Method                                                                                                         |   Time (ms)    |  Own Time (ms)  |  Samples  |
|  java.lang.invoke.LambdaForm$MH.0x00000008000c9c00.linkToTargetMethod(Object, int, Object, Object) LambdaForm$MH                                                                                                       |     526    1%  |              0  |       54  |
|  java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object, Object) DirectMethodHandle$Holder                                                                                                                 |     520    1%  |            338  |       58  |
|  havlak.LoopStructureGraph.calculateNestingLevelRec(SimpleLoop, int)                                                                                                                                                   |     512    1%  |              4  |       52  |
|  havlak.LoopStructureGraph$$Lambda$88.0x00000008000cd568.apply(Object)                                                                                                                                                 |     512    1%  |            189  |       52  |
|  havlak.LoopStructureGraph.lambda$calculateNestingLevelRec$1(int, SimpleLoop, SimpleLoop)                                                                                                                              |     503    1%  |              7  |       51  |
|  som.Dictionary.resize()                                                                                                                                                                                               |     499    1%  |            117  |       52  |
|  havlak.HavlakLoopFinder.lambda$stepD$6(int, Vector, Integer)                                                                                                                                                          |     399    1%  |             54  |       42  |
|  havlak.HavlakLoopFinder$$Lambda$25.0x00000008000cd118.<init>(HavlakLoopFinder, int, SimpleLoop)                                                                                                                       |     387    1%  |            180  |       39  |
|  som.Dictionary.transferEntries(Dictionary$Entry[])                                                                                                                                                                    |     382    1%  |            372  |       40  |
|  java.lang.Object.<init>() Object.java                                                                                                                                                                                 |     315    1%  |            315  |       32  |
|  java.util.Arrays.copyOf(Object[], int) Arrays.java                                                                                                                                                                    |     273    1%  |            263  |       27  |
|  havlak.SimpleLoop.addNode(BasicBlock)                                                                                                                                                                                 |     267    1%  |              0  |       27  |
|  som.Vector.removeAll()                                                                                                                                                                                                |     221    0%  |            221  |       23  |
|  java.lang.invoke.DirectMethodHandle.allocateInstance(Object) DirectMethodHandle.java                                                                                                                                  |     178    0%  |            143  |       22  |
|  som.Vector.at(int)                                                                                                                                                                                                    |     169    0%  |            169  |       18  |
|  som.Dictionary.hash(Dictionary$CustomHash)                                                                                                                                                                            |     139    0%  |            109  |       14  |
|  havlak.LoopTesterApp.constructCFG(int, int, int)                                                                                                                                                                      |     126    0%  |              9  |       12  |
|  havlak.LoopTesterApp.buildBaseLoop(int)                                                                                                                                                                               |     121    0%  |          < 0.1  |       10  |
|  havlak.HavlakLoopFinder.<init>(ControlFlowGraph, LoopStructureGraph)                                                                                                                                                  |     118    0%  |              0  |       12  |
|  havlak.BasicBlockEdge.<init>(ControlFlowGraph, int, int)                                                                                                                                                              |     106    0%  |             19  |       10  |
|  som.Dictionary.removeAll()                                                                                                                                                                                            |     100    0%  |            100  |       10  |
|  havlak.UnionFindNode.setLoop(SimpleLoop)                                                                                                                                                                              |      93    0%  |             93  |        9  |
|  havlak.LoopTesterApp.buildConnect(int, int)                                                                                                                                                                           |      87    0%  |              0  |        7  |
|  som.Dictionary.at(Dictionary$CustomHash)                                                                                                                                                                              |      82    0%  |             42  |        9  |
|  havlak.LoopTesterApp.buildStraight(int, int)                                                                                                                                                                          |      81    0%  |              0  |        6  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                                                                           |      80    0%  |             17  |       12  |
|  havlak.ControlFlowGraph.createNode(int)                                                                                                                                                                               |      80    0%  |          < 0.1  |        8  |
|  som.IdentityDictionary.newEntry(Dictionary$CustomHash, Object, int)                                                                                                                                                   |      55    0%  |              0  |        5  |
|  som.IdentityDictionary$IdEntry.<init>(int, Object, Object, Dictionary$Entry)                                                                                                                                          |      55    0%  |              9  |        5  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                                                              |      53    0%  |              0  |        7  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                                                                     |      53    0%  |              0  |        7  |
