          ns  percent  samples  top
     2088631    0.18%      207  Compile::fill_buffer(CodeBuffer*, unsigned int*)
     2083220    0.18%      205  .annobin__ZN12PhaseChaitin16gather_lrg_masksEb.constprop.0.start
     2069250    0.18%      193  PhaseIdealLoop::get_early_ctrl(Node*)
     2052000    0.18%      199  PhaseChaitin::build_ifg_virtual()
     2051801    0.18%      196  Compile::remove_speculative_types(PhaseIterGVN&) [clone .part.0]
     2030762    0.17%      156  org.eclipse.persistence.internal.databaseaccess.DatabaseAccessor.processResultSet
     2013000    0.17%      189  Node::out_grow(unsigned int)
     1974810    0.17%      183  Node::Node(unsigned int)
     1968350    0.17%      193  Node::pinned() const
     1965950    0.17%      114  g1_post_barrier_slow
     1946950    0.17%      182  ciInstanceKlass::get_field_by_offset(int, bool)
     1900340    0.16%      157  Dictionary::find(unsigned int, Symbol*, Handle)
     1870900    0.16%       76  os::PlatformEvent::park(long) [clone .part.0]
     1867201    0.16%      131  java.lang.ThreadLocal$ThreadLocalMap.getEntryAfterMiss
     1865130    0.16%      180  PhaseIterGVN::add_users_to_worklist(Node*)
     1850292    0.16%      180  PhaseConservativeCoalesce::update_ifg(unsigned int, unsigned int, IndexSet*, IndexSet*)
     1835391    0.16%       82  com.ibm.ws.threading.internal.ScheduledExecutorImpl.decorateTask
     1799632    0.15%      181  org.apache.derby.impl.store.access.sort.SortBuffer.insert
     1786682    0.15%      171  RegMask::is_aligned_pairs() const
     1784761    0.15%      178  IndexSet::lrg_union(unsigned int, unsigned int, unsigned int, PhaseIFG const*, RegMask const&)
     1782790    0.15%       78  java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.siftUp
     1775740    0.15%      169  TypeOopPtr::TypeOopPtr(Type::TYPES, TypePtr::PTR, ciKlass*, bool, ciObject*, int, int, TypePtr const*, int)
     1751190    0.15%      171  Node::jvms() const
     1737412    0.15%      100  ThreadStateTransition::transition_from_native(JavaThread*, JavaThreadState) [clone .constprop.0]
     1729700    0.15%      169  PhaseIdealLoop::build_loop_tree_impl(Node*, int)
     1729421    0.15%      164  .annobin__ZNK9MultiNode6is_CFGEv.start
     1728972    0.15%      170  RegMask::is_bound1() const
     1716970    0.15%       80  clock_gettime@GLIBC_2.2.5
     1711550    0.15%      164  Compile::final_graph_reshaping_walk(Node_Stack&, Node*, Final_Reshape_Counts&)
     1704000    0.15%      166  PhaseCFG::sched_call(Block*, unsigned int, Node_List&, GrowableArray<int>&, MachCallNode*, VectorSet&)
     1667961    0.14%      162  Node::unique_ctrl_out() const
     1665470    0.14%      157  PhaseGVN::transform_no_reclaim(Node*)
     1664680    0.14%      166  PhaseChaitin::bias_color(LRG&, int)
