# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles'
# Event count (approx.): 4546231725
#
# Overhead        Period  Command          Shared Object         Symbol                                                                                                                                                                    
# ........  ............  ...............  ....................  ..........................................................................................................................................................................
#
     1.98%      90071016  java             libjvm.so             [.] SymbolTable::do_lookup
     1.10%      49992683  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::Split
     0.85%      38764674  C2 CompilerThre  libjvm.so             [.] IndexSetIterator::advance_and_next
     0.76%      34401562  java             libjvm.so             [.] InstanceKlass::find_method_index
     0.72%      32714189  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::elide_copy
     0.72%      32576408  java             libjvm.so             [.] ClassVerifier::verify_method
     0.68%      30856477  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::gather_lrg_masks
     0.63%      28776140  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::build_loop_early
     0.58%      26176186  C1 CompilerThre  libjvm.so             [.] resource_allocate_bytes
     0.56%      25373506  java             libjvm.so             [.] ClassFileParser::parse_constant_pool
     0.56%      25348447  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::build_loop_late
     0.52%      23811242  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::interfere_with_live
     0.49%      22095556  C1 CompilerThre  libjvm.so             [.] LinearScan::build_intervals
     0.49%      22088350  java             ld-linux-x86-64.so.2  [.] _dl_update_slotinfo
     0.44%      19886968  C1 CompilerThre  [JIT] tid 157535      [.] 0x00007fe1556cf099
     0.43%      19775730  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::build_loop_late_post_work
     0.43%      19425372  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::post_allocate_copy_removal
     0.42%      18871451  C2 CompilerThre  [kernel.kallsyms]     [k] x86_pmu_disable_all
     0.42%      18867402  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::get_late_ctrl_with_anti_dep
     0.41%      18521123  java             [JIT] tid 157535      [.] 0x00007fe1556db4a0
     0.39%      17785926  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::is_dominator
     0.38%      17100233  C2 CompilerThre  ld-linux-x86-64.so.2  [.] __tls_get_addr
     0.37%      16922965  C2 CompilerThre  libjvm.so             [.] PhaseLive::compute
     0.37%      16706986  java             libjvm.so             [.] SymbolTable::lookup_only
     0.36%      16219881  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::split_if_with_blocks
     0.33%      14972133  java             libjvm.so             [.] ClassFileParser::skip_over_field_signature
     0.33%      14858817  java             libjvm.so             [.] Rewriter::scan_method
     0.31%      14273641  C1 CompilerThre  ld-linux-x86-64.so.2  [.] __tls_get_addr
     0.31%      14122313  java             [kernel.kallsyms]     [k] clear_page_rep
     0.31%      14115757  java             libjvm.so             [.] resource_allocate_bytes
     0.31%      14086415  C2 CompilerThre  libjvm.so             [.] NodeHash::hash_find_insert
     0.31%      14062995  C2 CompilerThre  libjvm.so             [.] PhaseAggressiveCoalesce::insert_copies
     0.31%      14013231  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::build_ifg_physical
     0.30%      13422699  C2 CompilerThre  libjvm.so             [.] PhaseLive::add_liveout
     0.29%      13314369  java             [JIT] tid 157535      [.] 0x00007fe1556e86b2
     0.29%      13259185  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::Dominators
     0.29%      13248021  C1 CompilerThre  libjvm.so             [.] ValueStack::values_do
     0.29%      13210685  java             [JIT] tid 157535      [.] 0x00007fe1556db51b
     0.28%      12687205  C1 CompilerThre  libjvm.so             [.] LinearScan::allocate_registers
     0.27%      12333695  java             [JIT] tid 157535      [.] 0x00007fe1556db517
     0.27%      12332033  C2 CompilerThre  libc.so.6             [.] __memset_avx2_unaligned_erms
     0.27%      12208793  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::build_loop_tree
     0.27%      12087139  C1 CompilerThre  libjvm.so             [.] LinearScanWalker::alloc_free_reg
     0.26%      12012439  java             libjvm.so             [.] klassVtable::update_inherited_vtable
     0.26%      11896317  C1 CompilerThre  libjvm.so             [.] LinearScanWalker::free_collect_inactive_fixed
     0.25%      11529885  C1 CompilerThre  libjvm.so             [.] NullCheckEliminator::iterate_one
     0.25%      11507280  C2 CompilerThre  libjvm.so             [.] PhaseOutput::BuildOopMaps
     0.25%      11461798  C2 CompilerThre  libjvm.so             [.] Matcher::find_shared
     0.25%      11442033  java             libjvm.so             [.] ClassFileParser::parse_linenumber_table
     0.25%      11415560  java             libjvm.so             [.] ClassFileParser::parse_constant_pool_entries
     0.25%      11399227  C1 CompilerThre  libjvm.so             [.] Relocation::pd_call_destination
     0.25%      11357134  java             [JIT] tid 157535      [.] 0x00007fe1556db51e
     0.25%      11263447  C1 CompilerThre  libjvm.so             [.] LinearScan::assign_reg_num
     0.25%      11233096  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::merge_multidefs
     0.25%      11222046  C2 CompilerThre  libjvm.so             [.] Dict::Insert
     0.24%      11031344  C1 CompilerThre  libjvm.so             [.] LinearScan::compute_local_live_sets
     0.24%      10980220  C1 CompilerThre  libjvm.so             [.] DebugInformationRecorder::find_sharable_decode_offset
     0.24%      10725916  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::add_input_to_liveout
     0.23%      10598046  java             libjvm.so             [.] Dictionary::find
     0.23%      10596360  java             [JIT] tid 157535      [.] 0x00007fe1556e6954
     0.23%      10595172  java             [JIT] tid 157535      [.] 0x00007fe1556e86a3
     0.23%      10576735  java             [JIT] tid 157535      [.] 0x00007fe1556db4a8
     0.23%      10574115  java             [JIT] tid 157535      [.] 0x00007fe1556d8340
     0.23%      10549740  C1 CompilerThre  libjvm.so             [.] LIR_OpVisitState::visit
