# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles'
# Event count (approx.): 4546231725
#
# Overhead        Period  Command          Shared Object         Symbol                                                                                                                                                                    
# ........  ............  ...............  ....................  ..........................................................................................................................................................................
#
     0.23%      10543148  java             libjvm.so             [.] ClassFileParser::parse_method
     0.23%      10523743  java             [JIT] tid 157535      [.] 0x00007fe1556e7e87
     0.23%      10484105  C2 CompilerThre  libjvm.so             [.] PhaseCFG::schedule_local
     0.23%      10455401  C2 CompilerThre  libjvm.so             [.] Matcher::match_tree
     0.23%      10404922  java             ld-linux-x86-64.so.2  [.] __tls_get_addr
     0.23%      10387268  C2 CompilerThre  libjvm.so             [.] Unique_Node_List::remove
     0.22%      10025953  C2 CompilerThre  libjvm.so             [.] Node::clone
     0.22%       9861186  C2 CompilerThre  libjvm.so             [.] PhaseCFG::insert_anti_dependences
     0.21%       9716188  java             [JIT] tid 157535      [.] 0x00007fe1556e86ab
     0.21%       9616116  C2 CompilerThre  libjvm.so             [.] Type::cmp
     0.21%       9463835  C1 CompilerThre  libjvm.so             [.] LIR_OpVisitState::append
     0.20%       9277171  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::build_loop_tree_impl
     0.20%       9089945  C1 CompilerThre  libjvm.so             [.] GraphBuilder::iterate_bytecodes_for_block
     0.19%       8851787  C2 CompilerThre  libjvm.so             [.] Compile::remove_useless_nodes
     0.19%       8840223  C2 CompilerThre  libjvm.so             [.] PhaseIterGVN::transform_old
     0.19%       8836735  java             [JIT] tid 157535      [.] 0x00007fe1556e7f50
     0.19%       8827104  java             [JIT] tid 157535      [.] 0x00007fe1556e567d
     0.19%       8785862  C2 CompilerThre  libjvm.so             [.] IndexSet::alloc_block_containing
     0.19%       8776044  java             [JIT] tid 157535      [.] 0x00007fe1556e7e73
     0.19%       8622629  C2 CompilerThre  libjvm.so             [.] Node::is_CFG
     0.19%       8582088  C2 CompilerThre  libjvm.so             [.] Matcher::Label_Root
     0.19%       8435181  C1 CompilerThre  libjvm.so             [.] LinearScan::add_use
     0.18%       8220373  C1 CompilerThre  libc.so.6             [.] pthread_mutex_trylock@@GLIBC_2.34
     0.18%       8045983  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::Select
     0.17%       7937353  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::gather_lrg_masks
     0.17%       7921950  C1 CompilerThre  libjvm.so             [.] LIR_OpVisitState::append
     0.17%       7889942  java             libjvm.so             [.] Rewriter::compute_index_maps
     0.17%       7869819  java             ld-linux-x86-64.so.2  [.] update_get_addr
     0.17%       7841212  C2 CompilerThre  libjvm.so             [.] MultiNode::is_CFG
     0.17%       7800164  java             libjvm.so             [.] ClassVerifier::verify_invoke_instructions
     0.17%       7772353  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::get_ctrl
     0.17%       7514201  C1 CompilerThre  libjvm.so             [.] Interval::split_child_at_op_id
     0.16%       7146922  C2 CompilerThre  libjvm.so             [.] Matcher::xform
     0.16%       7127330  C2 CompilerThre  libjvm.so             [.] RegMask::is_misaligned_pair
     0.16%       7102951  java             [kernel.kallsyms]     [k] x2apic_send_IPI
     0.16%       7068484  java             libjvm.so             [.] ClassFileParser::copy_localvariable_table
     0.16%       7059567  java             libc.so.6             [.] _int_malloc
     0.15%       7041487  C2 CompilerThre  libjvm.so             [.] PhaseIFG::SquareUp
     0.15%       7031166  C2 CompilerThre  libjvm.so             [.] IndexSet::initialize
     0.15%       7030196  java             libc.so.6             [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.15%       7022670  C2 CompilerThre  libjvm.so             [.] Type::hashcons
     0.15%       7008457  java             [JIT] tid 157535      [.] 0x00007fe1556d8344
     0.15%       7001234  C2 CompilerThre  libjvm.so             [.] PhiNode::Value
     0.15%       6959675  C2 CompilerThre  libjvm.so             [.] Node_Backward_Iterator::next
     0.15%       6794195  C2 CompilerThre  libjvm.so             [.] Node::set_req_X
     0.15%       6791474  C1 CompilerThre  libjvm.so             [.] ValueStack::ValueStack
     0.15%       6752878  C2 CompilerThre  libjvm.so             [.] PhaseCCP::analyze
     0.15%       6610001  C1 CompilerThre  libjvm.so             [.] IntervalWalker::walk_to
     0.14%       6522990  C1 CompilerThre  libjvm.so             [.] InstanceKlass::find_method_index
     0.14%       6248666  C2 CompilerThre  libjvm.so             [.] PhaseIFG::re_insert
     0.14%       6228290  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal
     0.14%       6194035  java             libjvm.so             [.] ClassFileParser::verify_legal_field_name
     0.14%       6186893  java             [JIT] tid 157535      [.] 0x00007fe155720100
     0.14%       6185335  java             libc.so.6             [.] __memcmp_avx2_movbe
     0.14%       6172588  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::Simplify
     0.14%       6161915  C2 CompilerThre  libjvm.so             [.] PhaseCFG::schedule_late
     0.14%       6152001  C2 CompilerThre  libjvm.so             [.] PhaseIFG::remove_node
     0.14%       6139987  C2 CompilerThre  libjvm.so             [.] PhaseCFG::schedule_pinned_nodes
     0.13%       6135552  java             libc.so.6             [.] __memset_avx2_unaligned_erms
     0.13%       6132441  java             [JIT] tid 157535      [.] 0x00007fe1556e8189
     0.13%       6128602  C2 CompilerThre  libjvm.so             [.] CallStaticJavaNode::uncommon_trap_request
     0.13%       6118098  java             libjvm.so             [.] CodeCache::find_blob
     0.13%       6061855  C2 CompilerThre  libjvm.so             [.] CProjNode::is_CFG
     0.13%       6059676  java             libjvm.so             [.] ConstantPool::klass_at_impl
     0.13%       6049696  C2 CompilerThre  libjvm.so             [.] TypeOopPtr::TypeOopPtr
     0.13%       6035080  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::remove_bound_register_from_interfering_live_ranges
     0.13%       6031905  java             libjvm.so             [.] StackMapFrame::is_assignable_to
     0.13%       6009222  java             libjvm.so             [.] SystemDictionary::resolve_instance_class_or_null
     0.13%       5987410  C2 CompilerThre  libjvm.so             [.] TypeNode::bottom_type
     0.13%       5984309  C1 CompilerThre  libjvm.so             [.] LIRGenerator::state_for
     0.13%       5931351  C1 CompilerThre  [kernel.kallsyms]     [k] clear_page_rep
     0.13%       5845627  C1 CompilerThre  libjvm.so             [.] GraphBuilder::append_with_bci
     0.13%       5726272  C2 CompilerThre  libjvm.so             [.] Compile::identify_useful_nodes
     0.12%       5616439  C1 CompilerThre  libjvm.so             [.] ciObjectFactory::get_metadata
     0.12%       5594361  C1 CompilerThre  libjvm.so             [.] vmSymbols::find_sid
     0.12%       5541049  C1 CompilerThre  libjvm.so             [.] LinearScan::sort_intervals_before_allocation
     0.12%       5478844  C1 CompilerThre  libjvm.so             [.] BlockBegin::try_merge
     0.12%       5443017  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::split_if_with_blocks_pre
     0.12%       5420538  C2 CompilerThre  libjvm.so             [.] PhaseIterGVN::optimize
     0.12%       5385249  som              python2.7             [.] PyEval_EvalFrameEx
     0.12%       5337438  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::compute_lca_of_uses
     0.12%       5309390  java             libjvm.so             [.] ClassVerifier::verify_field_instructions
     0.12%       5306877  java             libjvm.so             [.] ClassVerifier::generate_code_data
     0.12%       5304163  java             [JIT] tid 157535      [.] 0x00007fe1556df213
     0.12%       5296309  java             libjvm.so             [.] UTF8::is_legal_utf8
     0.12%       5279756  java             [JIT] tid 157535      [.] 0x00007fe1556e3c8a
     0.12%       5279545  java             libjvm.so             [.] DependencyContext::mark_dependent_nmethods
     0.12%       5270423  C2 CompilerThre  libjvm.so             [.] PhaseIterGVN::subsume_node
     0.12%       5265644  java             libc.so.6             [.] malloc
     0.12%       5248146  C2 CompilerThre  libjvm.so             [.] RegMask::Size
     0.12%       5231476  C2 CompilerThre  libjvm.so             [.] PhaseIterGVN::remove_globally_dead_node
     0.11%       5175574  C2 CompilerThre  libjvm.so             [.] Compile::remove_useless_node
     0.11%       5128003  C2 CompilerThre  libjvm.so             [.] Compile::final_graph_reshaping_walk
     0.11%       5125999  C2 CompilerThre  libjvm.so             [.] PhaseCFG::schedule_early
     0.11%       5097665  C2 CompilerThre  libjvm.so             [.] State::_sub_Op_AddP
     0.11%       5076218  C2 CompilerThre  libjvm.so             [.] Node::out_grow
     0.11%       5068389  C1 CompilerThre  libjvm.so             [.] MethodData::initialize
     0.11%       5040089  C1 CompilerThre  libjvm.so             [.] Interval::add_range
     0.11%       4980862  C2 CompilerThre  libjvm.so             [.] RegMask::is_UP
     0.11%       4927088  C1 CompilerThre  libc.so.6             [.] __vfprintf_internal
     0.11%       4904492  C1 CompilerThre  libjvm.so             [.] LIRGenerator::is_vreg_flag_set
     0.11%       4854200  C1 CompilerThre  [kernel.kallsyms]     [k] x86_pmu_disable_all
     0.11%       4791553  C1 CompilerThre  libjvm.so             [.] methodHandle::~methodHandle
     0.10%       4615450  C2 CompilerThre  [kernel.kallsyms]     [k] zap_pte_range
     0.10%       4587956  java             [kernel.kallsyms]     [k] kmem_cache_alloc
     0.10%       4514191  C2 CompilerThre  libjvm.so             [.] OopFlow::build_oop_map
     0.10%       4482642  java             [kernel.kallsyms]     [k] asm_exc_page_fault
     0.10%       4475750  C2 CompilerThre  libjvm.so             [.] TypeNode::hash
     0.10%       4462272  C2 CompilerThre  libjvm.so             [.] RegionNode::is_CFG
     0.10%       4461992  C2 CompilerThre  libjvm.so             [.] MachProjNode::bottom_type
     0.10%       4453947  C2 CompilerThre  libjvm.so             [.] Node_Array::insert
     0.10%       4443532  java             libjvm.so             [.] AccessInternal::PostRuntimeDispatch<CardTableBarrierSet::AccessBarrier<286822ul, CardTableBarrierSet>, (AccessInternal::BarrierType)3, 286822ul>::oop_access_barrier
     0.10%       4443372  java             libjvm.so             [.] ClassLoaderMetaspace::allocate
     0.10%       4442335  java             libjvm.so             [.] metaspace::MetaspaceArena::allocate
     0.10%       4439233  java             [kernel.kallsyms]     [k] __list_del_entry_valid
     0.10%       4434074  java             libc.so.6             [.] pthread_mutex_trylock@@GLIBC_2.34
     0.10%       4427400  java             [JIT] tid 157535      [.] 0x00007fe1556cf099
     0.10%       4427175  java             libjvm.so             [.] InterpreterRuntime::ldc
     0.10%       4426552  java             [kernel.kallsyms]     [k] copy_user_generic_string
     0.10%       4424257  java             libjvm.so             [.] RelocIterator::initialize
     0.10%       4423579  java             libjvm.so             [.] methodHandle::~methodHandle
     0.10%       4420440  java             [JIT] tid 157535      [.] 0x00007fe1556e6709
     0.10%       4414147  java             libjvm.so             [.] GenerateOopMap::interp_bb
     0.10%       4402103  java             libjvm.so             [.] resource_allocate_bytes
     0.10%       4401053  java             [JIT] tid 157535      [.] 0x00007fe1556d8364
     0.10%       4400113  C2 CompilerThre  libjvm.so             [.] PhaseOutput::fill_buffer
     0.10%       4398148  java             [JIT] tid 157535      [.] 0x00007fe1556e7140
     0.10%       4395258  java             libjvm.so             [.] method_comparator
     0.10%       4395152  java             libjvm.so             [.] HierarchyVisitor<FindMethodsByErasedSig>::run
     0.10%       4393196  java             [JIT] tid 157535      [.] 0x00007fe1556d8429
     0.10%       4392622  C2 CompilerThre  libjvm.so             [.] Node::pinned
     0.10%       4391925  java             libjvm.so             [.] StackMapTable::match_stackmap
     0.10%       4383476  java             libjvm.so             [.] InterpreterRuntime::resolve_invoke
     0.10%       4346145  C1 CompilerThre  libjvm.so             [.] ValueMap::find_insert
     0.10%       4342857  C2 CompilerThre  libjvm.so             [.] Node::remove_dead_region
     0.10%       4338726  C2 CompilerThre  libjvm.so             [.] Node::add_req
     0.10%       4335809  C2 CompilerThre  libjvm.so             [.] Parse::do_one_bytecode
     0.10%       4324212  C2 CompilerThre  libjvm.so             [.] ProjNode::pinned
     0.10%       4318999  java             libjvm.so             [.] Metaspace::allocate
     0.09%       4318727  C2 CompilerThre  libjvm.so             [.] PhaseOutput::shorten_branches
     0.09%       4269878  C2 CompilerThre  libjvm.so             [.] CmpINode::Opcode
     0.09%       4181693  C1 CompilerThre  libjvm.so             [.] CodeBuffer::finalize_oop_references
     0.09%       4156901  C1 CompilerThre  libjvm.so             [.] LinearScanWalker::activate_current
     0.09%       4107674  C1 CompilerThre  libjvm.so             [.] Range::intersects_at
     0.09%       4076797  C1 CompilerThre  libjvm.so             [.] GraphBuilder::access_field
     0.08%       3824062  som              python2.7             [.] lookdict_string
     0.08%       3707393  C1 CompilerThre  libjvm.so             [.] GlobalValueNumbering::GlobalValueNumbering
     0.08%       3613156  java             [kernel.kallsyms]     [k] x86_pmu_disable_all
     0.08%       3607954  java             libjvm.so             [.] Fingerprinter::compute_fingerprint_and_return_type
     0.08%       3592995  C2 CompilerThre  libjvm.so             [.] Node::unique_ctrl_out
     0.08%       3585985  C2 CompilerThre  libjvm.so             [.] Node::is_block_proj
     0.08%       3581049  C2 CompilerThre  libjvm.so             [.] NTarjan::DFS
     0.08%       3578201  C2 CompilerThre  libjvm.so             [.] PhaseIFG::effective_degree
     0.08%       3574641  C1 CompilerThre  libjvm.so             [.] Location::write_on
     0.08%       3573862  C2 CompilerThre  libjvm.so             [.] PhaseCFG::sched_call
     0.08%       3573667  C2 CompilerThre  [kernel.kallsyms]     [k] clear_page_rep
     0.08%       3573004  C2 CompilerThre  libjvm.so             [.] LoadNode::Ideal
     0.08%       3570052  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::compute_early_ctrl
     0.08%       3567618  C2 CompilerThre  libjvm.so             [.] CallStaticJavaNode::Opcode
     0.08%       3564092  C2 CompilerThre  [kernel.kallsyms]     [k] asm_exc_page_fault
     0.08%       3559917  C2 CompilerThre  libjvm.so             [.] Compile::remove_speculative_types
     0.08%       3557547  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::get_early_ctrl
     0.08%       3556145  C2 CompilerThre  libjvm.so             [.] PhaseIterGVN::add_users_to_worklist
     0.08%       3549954  java             libjvm.so             [.] SymbolTable::new_symbol
     0.08%       3548155  java             libjvm.so             [.] AccessInternal::PostRuntimeDispatch<CardTableBarrierSet::AccessBarrier<548964ul, CardTableBarrierSet>, (AccessInternal::BarrierType)2, 548964ul>::oop_access_barrier
     0.08%       3543734  C2 CompilerThre  libjvm.so             [.] HaltNode::is_CFG
     0.08%       3543105  java             [JIT] tid 157535      [.] 0x00007fe1556de838
     0.08%       3541122  java             libc.so.6             [.] __GI___pthread_mutex_unlock_usercnt
     0.08%       3537967  java             libjvm.so             [.] InstanceKlass::find_local_field
     0.08%       3537811  java             [JIT] tid 157535      [.] 0x00007fe155720104
     0.08%       3537515  java             libjvm.so             [.] ClassVerifier::verify_aload
     0.08%       3537443  java             libjvm.so             [.] DefaultMethods::generate_default_methods
     0.08%       3535522  java             [JIT] tid 157535      [.] 0x00007fe1556df193
     0.08%       3534902  C1 CompilerThre  libjvm.so             [.] LIR_List::move
     0.08%       3532810  java             [kernel.kallsyms]     [k] __fsnotify_parent
     0.08%       3532282  java             libjvm.so             [.] Rewriter::Rewriter
     0.08%       3530528  java             [kernel.kallsyms]     [k] avc_lookup
     0.08%       3527504  java             [JIT] tid 157535      [.] 0x00007fe1556eb6b6
     0.08%       3525324  java             libjvm.so             [.] SignatureStream::next
     0.08%       3522712  java             libjvm.so             [.] ConstMethod::set_inlined_tables_length
     0.08%       3522628  java             libjvm.so             [.] AdapterHandlerLibrary::get_adapter
     0.08%       3522095  C2 CompilerThre  libjvm.so             [.] resource_allocate_bytes
     0.08%       3521330  java             [kernel.kallsyms]     [k] next_uptodate_page
     0.08%       3519833  java             libjvm.so             [.] PackageEntryTable::lookup_only
     0.08%       3517372  java             libjvm.so             [.] Method::link_method
     0.08%       3512709  java             [JIT] tid 157535      [.] 0x00007fe1556eb7d3
     0.08%       3512323  java             libjvm.so             [.] klassVtable::compute_vtable_size_and_num_mirandas
     0.08%       3510308  C2 CompilerThre  libjvm.so             [.] Matcher::ReduceInst
     0.08%       3510172  java             libjvm.so             [.] CompilationPolicy::can_be_compiled
     0.08%       3504004  java             libjvm.so             [.] GrowableArrayWithAllocator<int, GrowableArray<int> >::grow
     0.08%       3499293  java             libjvm.so             [.] LinkResolver::check_method_loader_constraints
     0.08%       3493282  java             [JIT] tid 157535      [.] 0x00007fe1556db739
     0.08%       3492369  java             libjvm.so             [.] SymbolTable::do_add_if_needed
     0.08%       3490466  C2 CompilerThre  libjvm.so             [.] PhaseCFG::hoist_to_cheaper_block
     0.08%       3481482  java             libjvm.so             [.] ClassFileParser::parse_stream
     0.08%       3473879  java             [JIT] tid 157535      [.] 0x00007fe1556e7043
     0.08%       3467771  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::has_local_phi_input
     0.08%       3464126  C1 CompilerThre  libjvm.so             [.] GraphBuilder::try_inline_full
     0.08%       3449737  C2 CompilerThre  libjvm.so             [.] Node::destruct
     0.08%       3427541  java             ld-linux-x86-64.so.2  [.] __tls_get_addr_slow
     0.08%       3419397  C2 CompilerThre  libjvm.so             [.] PhaseCCP::transform
     0.08%       3418039  C1 CompilerThre  libjvm.so             [.] GrowableArrayWithAllocator<int, GrowableArray<int> >::grow
     0.08%       3416002  C1 CompilerThre  libjvm.so             [.] ThreadCritical::ThreadCritical
     0.08%       3413124  C2 CompilerThre  libjvm.so             [.] Node::Node
     0.08%       3412226  C2 CompilerThre  libjvm.so             [.] RegMask::smear_to_sets
     0.07%       3406941  C1 CompilerThre  libjvm.so             [.] __tls_get_addr@plt
     0.07%       3386005  C1 CompilerThre  libjvm.so             [.] LIRGenerator::do_If
     0.07%       3376402  C1 CompilerThre  libjvm.so             [.] LinearScan::eliminate_spill_moves
     0.07%       3368614  C2 CompilerThre  libjvm.so             [.] TypeInstPtr::add_offset
     0.07%       3356879  C2 CompilerThre  [vdso]                [.] 0x00000000000006f8
     0.07%       3356799  C1 CompilerThre  libjvm.so             [.] Compilation::emit_lir
     0.07%       3350183  C1 CompilerThre  libjvm.so             [.] GrowableArrayWithAllocator<Interval*, GrowableArray<Interval*> >::grow
     0.07%       3348076  C1 CompilerThre  libjvm.so             [.] DebugInformationRecorder::create_scope_values
     0.07%       3347962  C1 CompilerThre  libjvm.so             [.] DebugInformationRecorder::describe_scope
     0.07%       3343401  C2 CompilerThre  libjvm.so             [.] MemNode::can_see_stored_value
     0.07%       3323089  C2 CompilerThre  libjvm.so             [.] Node::grow
     0.07%       3320842  C2 CompilerThre  libjvm.so             [.] Type::singleton
     0.07%       3300616  C2 CompilerThre  libjvm.so             [.] PhaseRemoveUseless::PhaseRemoveUseless
     0.07%       3297733  C1 CompilerThre  libjvm.so             [.] Label::patch_instructions
     0.07%       3269700  C1 CompilerThre  [JIT] tid 157535      [.] 0x00007fe1556cf08b
     0.07%       3260106  C1 CompilerThre  libjvm.so             [.] MethodLiveness::BasicBlock::get_liveness_at
     0.07%       3255392  C1 CompilerThre  libc.so.6             [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.07%       3231021  C1 CompilerThre  libjvm.so             [.] LinearScan::resolve_collect_mappings
     0.07%       3214261  C1 CompilerThre  libjvm.so             [.] Interval::add_use_pos
     0.07%       3198706  C1 CompilerThre  libjvm.so             [.] PhiResolver::create_node
     0.07%       3183755  C1 CompilerThre  libjvm.so             [.] LinearScan::compute_debug_info_for_scope
     0.07%       3176274  C1 CompilerThre  libjvm.so             [.] LinearScan::add_def
     0.07%       3142169  C1 CompilerThre  libjvm.so             [.] ciMethodData::data_from
     0.07%       3118360  C1 CompilerThre  libjvm.so             [.] AccessInternal::PostRuntimeDispatch<CardTableBarrierSet::AccessBarrier<286822ul, CardTableBarrierSet>, (AccessInternal::BarrierType)3, 286822ul>::oop_access_barrier
     0.07%       3114213  C1 CompilerThre  libjvm.so             [.] ValueMap::ValueMap
     0.07%       3063272  C1 CompilerThre  libjvm.so             [.] LinearScan::number_instructions
     0.07%       3056800  C1 CompilerThre  libjvm.so             [.] LinearScanWalker::combine_spilled_intervals
     0.07%       3040162  C1 CompilerThre  libjvm.so             [.] ImmutableOopMapBuilder::fill
     0.07%       3020691  C1 CompilerThre  libjvm.so             [.] Dependencies::initialize
     0.06%       2897366  C1 CompilerThre  libjvm.so             [.] Instruction::as_Constant
     0.06%       2826655  C1 CompilerThre  libjvm.so             [.] MethodData::initialize_data
     0.06%       2817101  C1 CompilerThre  libjvm.so             [.] ValueStack::total_locks_size
     0.06%       2743823  C2 CompilerThre  libjvm.so             [.] RangeCheckNode::Ideal
     0.06%       2729147  C2 CompilerThre  libjvm.so             [.] IndexSet::lrg_union
     0.06%       2724611  C2 CompilerThre  libjvm.so             [.] MergeMemNode::MergeMemNode
     0.06%       2697705  java             libjvm.so             [.] CompilationPolicy::event
     0.06%       2690311  C1 CompilerThre  libjvm.so             [.] LinearScan::add_register_hints
     0.06%       2685959  C2 CompilerThre  libjvm.so             [.] Node::rematerialize
     0.06%       2683134  C2 CompilerThre  libjvm.so             [.] Arena::contains
     0.06%       2682353  java             libjvm.so             [.] JVM_FindLoadedClass
     0.06%       2682138  C1 CompilerThre  libjvm.so             [.] LIR_Assembler::append_code_stub
     0.06%       2681839  C2 CompilerThre  libjvm.so             [.] State::MachNodeGenerator
     0.06%       2681327  C2 CompilerThre  libjvm.so             [.] GrowableArrayWithAllocator<long, GrowableArray<long> >::grow
     0.06%       2679770  C2 CompilerThre  libjvm.so             [.] AddPNode::bottom_type
     0.06%       2679469  java             libjvm.so             [.] UNICODE::as_utf8
     0.06%       2678322  C2 CompilerThre  libjvm.so             [.] CProjNode::is_block_proj
     0.06%       2674567  C2 CompilerThre  libjvm.so             [.] PhaseOutput::scratch_emit_size
     0.06%       2671812  C2 CompilerThre  libjvm.so             [.] PhaseCCP::transform_once
     0.06%       2670847  java             [kernel.kallsyms]     [k] xas_load
     0.06%       2670213  java             libjvm.so             [.] ConstantPool::impl_name_ref_at
     0.06%       2666634  C1 CompilerThre  [kernel.kallsyms]     [k] handle_mm_fault
