Method list (CPU)

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                        Method                                                                                        |   Time (ms)   |  Own Time (ms)  |  Samples  |
|  deltablue.Planner.lambda$removePropagateFrom$5(Vector, AbstractConstraint)                                                                                                          |     62    2%  |          < 0.1  |        7  |
|  java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object, Object, Object) Invokers$Holder                                                                                         |     56    1%  |              0  |        6  |
|  deltablue.ScaleConstraint.addToGraph()                                                                                                                                              |     49    1%  |              0  |        5  |
|  deltablue.Planner$$Lambda$19.0x00000008000cc000.<init>(AbstractConstraint, Vector)                                                                                                  |     48    1%  |             48  |        1  |
|  som.Vector.<init>()                                                                                                                                                                 |     47    1%  |              0  |        5  |
|  deltablue.BinaryConstraint.recalculate()                                                                                                                                            |     47    1%  |             19  |        5  |
|  java.util.Objects.requireNonNull(Object) Objects.java                                                                                                                               |     45    1%  |             45  |        5  |
|  deltablue.Planner.lambda$removePropagateFrom$4(Vector, AbstractConstraint)                                                                                                          |     39    1%  |             29  |        4  |
|  deltablue.Planner$$Lambda$28.0x00000008000cd1d0.apply(Object)                                                                                                                       |     39    1%  |              0  |        4  |
|  som.Vector$$Lambda$25.0x00000008000ccfa8.apply(Object)                                                                                                                              |     39    1%  |             29  |        4  |
|  deltablue.Strength.weaker(Strength)                                                                                                                                                 |     29    1%  |              9  |        3  |
|  deltablue.Strength.weakest(Strength)                                                                                                                                                |     29    1%  |              0  |        3  |
|  som.Vector.with(Object)                                                                                                                                                             |     28    1%  |             18  |        3  |
|  deltablue.AbstractConstraint.inputsKnown(int)                                                                                                                                       |     28    1%  |             28  |        3  |
|  deltablue.UnaryConstraint.addToGraph()                                                                                                                                              |     28    1%  |              0  |        3  |
|  java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object, int) DirectMethodHandle$Holder                                                                                  |     28    1%  |             28  |        3  |
|  java.lang.invoke.Invokers$Holder.linkToTargetMethod(int, Object) Invokers$Holder                                                                                                    |     28    1%  |              0  |        3  |
|  Run.printResult(long)                                                                                                                                                               |     25    1%  |          < 0.1  |        5  |
|  deltablue.Variable.getWalkStrength()                                                                                                                                                |     23    1%  |             23  |        3  |
|  deltablue.Plan.<init>()                                                                                                                                                             |     20    1%  |              0  |        2  |
|  deltablue.UnaryConstraint.getOutput()                                                                                                                                               |     19    0%  |             19  |        2  |
