Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
|  havlak.SimpleLoop.addNode(BasicBlock)                                                                                                                                |     438    1%  |              9  |       44  |
|  havlak.HavlakLoopFinder.lambda$stepD$6(int, Vector, Integer)                                                                                                         |     386    1%  |            109  |       39  |
|  java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object, Object) DirectMethodHandle$Holder                                                                |     373    1%  |            148  |       42  |
|  som.Dictionary.resize()                                                                                                                                              |     362    1%  |             22  |       41  |
|  som.Dictionary.transferEntries(Dictionary$Entry[])                                                                                                                   |     339    1%  |            336  |       38  |
|  java.lang.Object.<init>() Object.java                                                                                                                                |     287    1%  |            287  |       27  |
|  som.Dictionary.removeAll()                                                                                                                                           |     263    1%  |            263  |       27  |
|  java.lang.invoke.DirectMethodHandle.allocateInstance(Object) DirectMethodHandle.java                                                                                 |     255    1%  |            179  |       29  |
|  som.Dictionary.hash(Dictionary$CustomHash)                                                                                                                           |     230    0%  |            152  |       25  |
|  havlak.UnionFindNode.union(UnionFindNode)                                                                                                                            |     199    0%  |            199  |       21  |
|  java.util.Arrays.copyOf(Object[], int) Arrays.java                                                                                                                   |     186    0%  |            186  |       19  |
|  som.Dictionary.at(Dictionary$CustomHash)                                                                                                                             |     168    0%  |             69  |       18  |
|  som.IdentityDictionary.newEntry(Dictionary$CustomHash, Object, int)                                                                                                  |     167    0%  |             19  |       16  |
|  som.IdentityDictionary$IdEntry.<init>(int, Object, Object, Dictionary$Entry)                                                                                         |     147    0%  |             27  |       14  |
|  havlak.HavlakLoopFinder.<init>(ControlFlowGraph, LoopStructureGraph)                                                                                                 |     132    0%  |              9  |       14  |
|  som.Dictionary$Entry.<init>(int, Object, Object, Dictionary$Entry)                                                                                                   |     119    0%  |            119  |       12  |
|  java.lang.invoke.LambdaForm$DMH.0x00000008000c9400.newInvokeSpecial(Object, Object, int, Object) LambdaForm$DMH                                                      |     118    0%  |             29  |       11  |
|  java.lang.invoke.LambdaForm$MH.0x00000008000c9c00.linkToTargetMethod(Object, int, Object, Object) LambdaForm$MH                                                      |     118    0%  |              0  |       11  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                          |     102    0%  |          < 0.1  |        8  |
|  havlak.UnionFindNode.<init>()                                                                                                                                        |      88    0%  |             88  |        9  |
|  havlak.BasicBlock.customHash()                                                                                                                                       |      78    0%  |             78  |        8  |
|  jdk.internal.misc.Unsafe.allocateInstance(Class) Unsafe.java (native)                                                                                                |      76    0%  |             76  |       10  |
|  havlak.LoopTesterApp.buildBaseLoop(int)                                                                                                                              |      60    0%  |              8  |        6  |
|  havlak.LoopTesterApp.constructCFG(int, int, int)                                                                                                                     |      60    0%  |              0  |        6  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                 |      59    0%  |              0  |        6  |
|  java.lang.Class.forName0(String, boolean, ClassLoader, Class) Class.java (native)                                                                                    |      58    0%  |             38  |        6  |
|  havlak.BasicBlockEdge.<init>(ControlFlowGraph, int, int)                                                                                                             |      51    0%  |              0  |        5  |
|  havlak.ControlFlowGraph.createNode(int)                                                                                                                              |      51    0%  |              9  |        5  |
|  Run.printResult(long)                                                                                                                                                |      50    0%  |              0  |        5  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getCompositeData() GarbageCollectionNotifInfoCompositeData.java                                  |      50    0%  |              0  |        3  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.toCompositeData(GarbageCollectionNotificationInfo) GarbageCollectionNotifInfoCompositeData.java  |      50    0%  |              0  |        3  |
|  com.sun.management.internal.GcInfoCompositeData.toCompositeData(GcInfo) GcInfoCompositeData.java                                                                     |      50    0%  |              0  |        3  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                 |      49    0%  |          < 0.1  |        5  |
|  com.sun.management.GarbageCollectionNotificationInfo.<init>(CompositeData) GarbageCollectionNotificationInfo.java                                                    |      48    0%  |              0  |        3  |
|  com.sun.management.GarbageCollectionNotificationInfo.from(CompositeData) GarbageCollectionNotificationInfo.java                                                      |      48    0%  |              0  |        3  |
|  com.yourkit.an.ar.invoke(Object, Object[]) a                                                                                                                         |      48    0%  |              0  |        3  |
|  com.yourkit.probes.ReflectionUtilImpl.callMethod1(Class, Object, String, Object, CallStatus) a                                                                       |      48    0%  |              0  |        3  |
|  com.yourkit.runtime.GcPauseCounter$MyListener.handleNotification(Notification, Object) a                                                                             |      48    0%  |              0  |        3  |
|  com.yourkit.runtime.JniMethod.callObjectMethodImpl(Class, Object, long, long, Object[], long[]) a                                                                    |      48    0%  |              0  |        3  |
|  sun.management.NotificationEmitterSupport.sendNotification(Notification) NotificationEmitterSupport.java                                                             |      48    0%  |              0  |        3  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                             |      45    0%  |              0  |        7  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                            |      45    0%  |              0  |        7  |
