Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  45,437   99%  |          < 0.1  |    4,570  |
|  Run.runBenchmark()                                                                                                                                                   |  45,435   99%  |          < 0.1  |    4,569  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  45,419   99%  |              0  |    4,566  |
|  Run.measure(Benchmark)                                                                                                                                               |  45,419   99%  |          < 0.1  |    4,566  |
|  Havlak.innerBenchmarkLoop(int)                                                                                                                                       |  45,359   99%  |          < 0.1  |    4,560  |
|  havlak.LoopTesterApp.main(int, int, int, int, int)                                                                                                                   |  45,349   99%  |          < 0.1  |    4,558  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                 |  30,961   68%  |          2,043  |    3,109  |
|  havlak.LoopTesterApp.findLoops(LoopStructureGraph)                                                                                                                   |  26,885   59%  |          < 0.1  |    2,715  |
|  havlak.HavlakLoopFinder.findLoops()                                                                                                                                  |  26,771   59%  |          4,988  |    2,703  |
|  havlak.LoopStructureGraph.calculateNestingLevel()                                                                                                                    |  18,419   40%  |          < 0.1  |    1,838  |
|  som.Set.add(Object)                                                                                                                                                  |  18,187   40%  |          < 0.1  |    1,815  |
|  som.Set.hasSome(TestInterface)                                                                                                                                       |  17,853   39%  |             59  |    1,780  |
|  som.Vector.hasSome(TestInterface)                                                                                                                                    |  17,794   39%  |            698  |    1,774  |
|  som.IdentitySet.contains(Object)                                                                                                                                     |  17,726   39%  |          < 0.1  |    1,767  |
|  havlak.LoopStructureGraph$$Lambda$84.0x00000008000cd340.apply(Object)                                                                                                |  17,715   39%  |            230  |    1,767  |
|  havlak.SimpleLoop.setParent(SimpleLoop)                                                                                                                              |  17,597   39%  |            151  |    1,756  |
|  havlak.LoopStructureGraph.lambda$calculateNestingLevel$0(SimpleLoop)                                                                                                 |  17,485   38%  |             40  |    1,744  |
|  havlak.SimpleLoop.addChildLoop(SimpleLoop)                                                                                                                           |  17,446   38%  |              0  |    1,741  |
|  som.IdentitySet.lambda$contains$0(Object, Object)                                                                                                                    |  17,095   38%  |         17,095  |    1,705  |
|  som.IdentitySet$$Lambda$23.0x00000008000ccef0.test(Object)                                                                                                           |  17,095   38%  |              0  |    1,705  |
|  havlak.LoopTesterApp.addDummyLoops(int)                                                                                                                              |   8,363   18%  |             26  |      848  |
|  havlak.HavlakLoopFinder.initAllNodes()                                                                                                                               |   5,113   11%  |              9  |      518  |
|  havlak.HavlakLoopFinder.identifyEdges(int)                                                                                                                           |   4,083    9%  |             30  |      413  |
|  havlak.HavlakLoopFinder.processEdges(BasicBlock, int)                                                                                                                |   4,052    9%  |              9  |      411  |
|  havlak.HavlakLoopFinder$$Lambda$13.0x00000008000c5c70.apply(Object)                                                                                                  |   3,966    9%  |            146  |      402  |
|  havlak.HavlakLoopFinder.lambda$processEdges$1(int, BasicBlock)                                                                                                       |   3,820    8%  |          3,323  |      386  |
|  som.Set.forEach(ForEachInterface)                                                                                                                                    |   3,479    8%  |             19  |      351  |
|  havlak.HavlakLoopFinder.doDFS(BasicBlock, int)                                                                                                                       |   3,166    7%  |          2,762  |      319  |
|  havlak.HavlakLoopFinder.stepEProcessNonBackPreds(int, Vector, Vector, UnionFindNode)                                                                                 |   2,871    6%  |          < 0.1  |      290  |
|  havlak.HavlakLoopFinder$$Lambda$20.0x00000008000ccaa0.apply(Object)                                                                                                  |   2,861    6%  |             79  |      289  |
|  havlak.HavlakLoopFinder.lambda$stepEProcessNonBackPreds$4(int, Vector, Vector, Integer)                                                                              |   2,781    6%  |          1,966  |      281  |
|  havlak.HavlakLoopFinder.stepD(int, Vector)                                                                                                                           |   2,423    5%  |            487  |      246  |
|  havlak.HavlakLoopFinder.lambda$initAllNodes$0(BasicBlock)                                                                                                            |   1,922    4%  |            957  |      195  |
|  havlak.HavlakLoopFinder$$Lambda$12.0x00000008000c5a48.apply(Object)                                                                                                  |   1,922    4%  |              0  |      196  |
|  som.Vector.removeAll()                                                                                                                                               |   1,331    3%  |          1,331  |      134  |
|  som.Dictionary.atPut(Dictionary$CustomHash, Object)                                                                                                                  |   1,299    3%  |            233  |      131  |
|  som.Set.<init>()                                                                                                                                                     |   1,276    3%  |              9  |      126  |
|  som.Set.<init>(int)                                                                                                                                                  |   1,266    3%  |            763  |      125  |
|  havlak.HavlakLoopFinder$$Lambda$15.0x00000008000cc428.apply(Object)                                                                                                  |   1,231    3%  |            828  |      125  |
|  som.Vector.<init>(int)                                                                                                                                               |   1,193    3%  |          1,114  |      117  |
|  som.Vector.append(Object)                                                                                                                                            |   1,150    3%  |          1,000  |      116  |
|  havlak.LoopStructureGraph.createNewLoop(BasicBlock, boolean)                                                                                                         |   1,147    3%  |             80  |      115  |
|  havlak.UnionFindNode.findSet()                                                                                                                                       |   1,123    2%  |            465  |      116  |
|  som.Vector.<init>()                                                                                                                                                  |   1,023    2%  |            301  |      103  |
|  havlak.SimpleLoop.<init>(BasicBlock, boolean)                                                                                                                        |   1,016    2%  |            160  |      102  |
|  havlak.HavlakLoopFinder.setLoopAttributes(int, Vector, SimpleLoop)                                                                                                   |   1,014    2%  |          < 0.1  |      102  |
|  havlak.HavlakLoopFinder$$Lambda$24.0x00000008000cd118.apply(Object)                                                                                                  |     996    2%  |            198  |      100  |
|  java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object, Object) DirectMethodHandle$Holder                                                                |     860    2%  |            787  |       89  |
|  java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object, Object) Invokers$Holder                                                                                  |     860    2%  |              0  |       89  |
|  havlak.HavlakLoopFinder.lambda$setLoopAttributes$5(int, SimpleLoop, UnionFindNode)                                                                                   |     797    2%  |             57  |       80  |
|  som.IdentitySet.<init>()                                                                                                                                             |     696    2%  |             49  |       70  |
|  som.Dictionary.resize()                                                                                                                                              |     665    1%  |            296  |       66  |
|  havlak.LoopStructureGraph.calculateNestingLevelRec(SimpleLoop, int)                                                                                                  |     617    1%  |              0  |       62  |
|  havlak.LoopStructureGraph$$Lambda$85.0x00000008000cd568.apply(Object)                                                                                                |     617    1%  |            238  |       62  |
|  havlak.LoopStructureGraph.lambda$calculateNestingLevelRec$1(int, SimpleLoop, SimpleLoop)                                                                             |     607    1%  |          < 0.1  |       61  |
|  havlak.HavlakLoopFinder.lambda$stepD$6(int, Vector, Integer)                                                                                                         |     403    1%  |             29  |       42  |
|  som.Dictionary.transferEntries(Dictionary$Entry[])                                                                                                                   |     369    1%  |            359  |       37  |
|  som.Vector.at(int)                                                                                                                                                   |     359    1%  |            359  |       36  |
|  havlak.SimpleLoop.addNode(BasicBlock)                                                                                                                                |     310    1%  |              9  |       30  |
|  som.Dictionary.hash(Dictionary$CustomHash)                                                                                                                           |     265    1%  |            159  |       26  |
|  som.Set.contains(Object)                                                                                                                                             |     260    1%  |          < 0.1  |       27  |
|  havlak.UnionFindNode.union(UnionFindNode)                                                                                                                            |     205    0%  |            205  |       20  |
|  som.IdentityDictionary.newEntry(Dictionary$CustomHash, Object, int)                                                                                                  |     179    0%  |             68  |       19  |
|  som.Dictionary.at(Dictionary$CustomHash)                                                                                                                             |     168    0%  |             78  |       17  |
|  java.util.Arrays.copyOf(Object[], int) Arrays.java                                                                                                                   |     149    0%  |            149  |       15  |
|  java.lang.Object.<init>() Object.java                                                                                                                                |     138    0%  |            138  |       14  |
|  som.IdentityDictionary$IdEntry.<init>(int, Object, Object, Dictionary$Entry)                                                                                         |     110    0%  |             19  |       12  |
|  havlak.BasicBlock.customHash()                                                                                                                                       |     105    0%  |            105  |       10  |
|  havlak.HavlakLoopFinder.<init>(ControlFlowGraph, LoopStructureGraph)                                                                                                 |     100    0%  |              0  |       10  |
|  havlak.HavlakLoopFinder$$Lambda$17.0x00000008000cc650.apply(Object)                                                                                                  |      90    0%  |             90  |        9  |
|  java.lang.invoke.DirectMethodHandle.allocateInstance(Object) DirectMethodHandle.java                                                                                 |      90    0%  |             39  |       12  |
|  som.Dictionary$Entry.<init>(int, Object, Object, Dictionary$Entry)                                                                                                   |      90    0%  |             80  |       10  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                          |      85    0%  |          < 0.1  |       10  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getCompositeData() GarbageCollectionNotifInfoCompositeData.java                                  |      74    0%  |              0  |        7  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.toCompositeData(GarbageCollectionNotificationInfo) GarbageCollectionNotifInfoCompositeData.java  |      74    0%  |              0  |        7  |
|  com.sun.management.internal.GcInfoCompositeData.getCompositeData() GcInfoCompositeData.java                                                                          |      74    0%  |          < 0.1  |        7  |
|  com.sun.management.internal.GcInfoCompositeData.toCompositeData(GcInfo) GcInfoCompositeData.java                                                                     |      74    0%  |              0  |        7  |
|  java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object, int, Object) Invokers$Holder                                                                             |      73    0%  |              0  |        7  |
|  java.lang.invoke.LambdaForm$DMH.0x00000008000c8800.newInvokeSpecial(Object, Object, int) LambdaForm$DMH                                                              |      73    0%  |          < 0.1  |        7  |
|  Run.printResult(long)                                                                                                                                                |      59    0%  |          < 0.1  |        6  |
|  sun.management.MappedMXBeanType$MapMXBeanType.toOpenTypeData(Object) MappedMXBeanType.java                                                                           |      59    0%  |              6  |        5  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                             |      57    0%  |              0  |        8  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                    |      57    0%  |          < 0.1  |        8  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                            |      57    0%  |              0  |        8  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                      |      57    0%  |              0  |        8  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                         |      57    0%  |              0  |        8  |
|  jdk.internal.misc.Unsafe.allocateInstance(Class) Unsafe.java (native)                                                                                                |      50    0%  |             50  |        8  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                 |      49    0%  |              0  |        5  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                 |      49    0%  |              0  |        5  |
|  havlak.HavlakLoopFinder$$Lambda$13.0x00000008000c5c70.<init>(HavlakLoopFinder, int)                                                                                  |      49    0%  |             49  |        5  |
|  java.lang.invoke.LambdaForm$DMH.0x00000008000c9000.newInvokeSpecial(Object, Object, int, Object) LambdaForm$DMH                                                      |      44    0%  |             28  |        4  |
|  java.lang.invoke.LambdaForm$MH.0x00000008000c9800.linkToTargetMethod(Object, int, Object, Object) LambdaForm$MH                                                      |      44    0%  |              0  |        4  |
|  java.security.AccessController.doPrivileged(PrivilegedAction) AccessController.java                                                                                  |      41    0%  |              0  |        2  |
|  java.security.AccessController.executePrivileged(PrivilegedAction, AccessControlContext, Class) AccessController.java                                                |      41    0%  |              0  |        2  |
|  java.io.BufferedOutputStream.flush() BufferedOutputStream.java                                                                                                       |      39    0%  |              0  |        4  |
|  java.io.BufferedOutputStream.flushBuffer() BufferedOutputStream.java                                                                                                 |      39    0%  |              0  |        4  |
|  java.io.FileOutputStream.write(byte[], int, int) FileOutputStream.java                                                                                               |      39    0%  |          < 0.1  |        4  |
|  java.io.OutputStreamWriter.flushBuffer() OutputStreamWriter.java                                                                                                     |      39    0%  |              0  |        4  |
|  java.io.PrintStream.write(byte[], int, int) PrintStream.java                                                                                                         |      39    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.flushBuffer() StreamEncoder.java                                                                                                            |      39    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.implFlushBuffer() StreamEncoder.java                                                                                                        |      39    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.writeBytes() StreamEncoder.java                                                                                                             |      39    0%  |              0  |        4  |
|  java.lang.Class.forName(String, boolean, ClassLoader) Class.java                                                                                                     |      36    0%  |              0  |        3  |
|  java.lang.Class.forName0(String, boolean, ClassLoader, Class) Class.java (native)                                                                                    |      36    0%  |              0  |        3  |
|  sun.launcher.LauncherHelper.checkAndLoadMain(boolean, int, String) LauncherHelper.java                                                                               |      36    0%  |              0  |        3  |
|  sun.launcher.LauncherHelper.loadMainClass(int, String) LauncherHelper.java                                                                                           |      36    0%  |              0  |        3  |
|  com.sun.jmx.mbeanserver.GetPropertyAction.run() GetPropertyAction.java                                                                                               |      35    0%  |              0  |        1  |
|  com.sun.jmx.mbeanserver.GetPropertyAction.run() GetPropertyAction.java                                                                                               |      35    0%  |              0  |        1  |
|  java.lang.System.getProperty(String) System.java                                                                                                                     |      35    0%  |             35  |        1  |
|  javax.management.openmbean.TabularDataSupport.<init>(TabularType) TabularDataSupport.java                                                                            |      35    0%  |              0  |        1  |
|  javax.management.openmbean.TabularDataSupport.<init>(TabularType, int, float) TabularDataSupport.java                                                                |      35    0%  |              0  |        1  |
|  jdk.internal.loader.BuiltinClassLoader.defineClass(String, Resource) BuiltinClassLoader.java                                                                         |      33    0%  |              0  |        6  |
|  som.Dictionary.insertBucketEntry(Dictionary$CustomHash, Object, int, Dictionary$Entry)                                                                               |      32    0%  |             32  |        4  |
|  java.security.SecureClassLoader.defineClass(String, byte[], int, int, CodeSource) SecureClassLoader.java                                                             |      31    0%  |              0  |        5  |
|  havlak.UnionFindNode.getLoop()                                                                                                                                       |      30    0%  |             30  |        3  |
|  som.Dictionary.removeAll()                                                                                                                                           |      29    0%  |             29  |        3  |
|  java.lang.Integer.valueOf(int) Integer.java                                                                                                                          |      29    0%  |             29  |        2  |
|  java.lang.ClassLoader.defineClass1(ClassLoader, String, byte[], int, int, ProtectionDomain, String) ClassLoader.java (native)                                        |      24    0%  |             24  |        5  |
|  com.yourkit.probes.builtin.Files.<clinit>() a                                                                                                                        |      24    0%  |             24  |        1  |
|  com.yourkit.probes.builtin.Files$RandomAccessFile_open_Probe.onEnter() a                                                                                             |      24    0%  |              0  |        1  |
|  java.io.RandomAccessFile.<init>(File, String, boolean) RandomAccessFile.java                                                                                         |      24    0%  |              0  |        1  |
|  java.io.RandomAccessFile.<init>(File, String) RandomAccessFile.java                                                                                                  |      24    0%  |              0  |        1  |
|  java.io.RandomAccessFile.open(String, int) RandomAccessFile.java                                                                                                     |      24    0%  |              0  |        1  |
|  java.security.AccessController.doPrivileged(PrivilegedExceptionAction, AccessControlContext) AccessController.java                                                   |      24    0%  |              0  |        2  |
|  java.security.AccessController.executePrivileged(PrivilegedExceptionAction, AccessControlContext, Class) AccessController.java                                       |      24    0%  |              0  |        2  |
|  java.util.jar.JarFile.<init>(File, boolean, int, Runtime$Version) JarFile.java                                                                                       |      24    0%  |              0  |        1  |
|  java.util.zip.ZipFile.<init>(File, int, Charset) ZipFile.java                                                                                                        |      24    0%  |              0  |        1  |
|  java.util.zip.ZipFile.<init>(File, int) ZipFile.java                                                                                                                 |      24    0%  |              0  |        1  |
|  java.util.zip.ZipFile$CleanableResource.<init>(ZipFile, ZipCoder, File, int) ZipFile.java                                                                            |      24    0%  |              0  |        1  |
|  java.util.zip.ZipFile$Source.<init>(ZipFile$Source$Key, boolean, ZipCoder) ZipFile.java                                                                              |      24    0%  |              0  |        1  |
|  java.util.zip.ZipFile$Source.get(File, boolean, ZipCoder) ZipFile.java                                                                                               |      24    0%  |              0  |        1  |
|  jdk.internal.loader.URLClassPath.getLoader(URL) URLClassPath.java                                                                                                    |      24    0%  |              0  |        2  |
|  jdk.internal.loader.URLClassPath.getLoader(int) URLClassPath.java                                                                                                    |      24    0%  |              0  |        2  |
|  jdk.internal.loader.URLClassPath.getResource(String, boolean) URLClassPath.java                                                                                      |      24    0%  |              0  |        2  |
|  jdk.internal.loader.URLClassPath$3.run() URLClassPath.java                                                                                                           |      24    0%  |              0  |        2  |
|  jdk.internal.loader.URLClassPath$3.run() URLClassPath.java                                                                                                           |      24    0%  |              0  |        2  |
|  jdk.internal.loader.URLClassPath$JarLoader.<init>(URL, URLStreamHandler, HashMap, AccessControlContext) URLClassPath.java                                            |      24    0%  |              0  |        2  |
|  jdk.internal.loader.URLClassPath$JarLoader.ensureOpen() URLClassPath.java                                                                                            |      24    0%  |              0  |        1  |
|  jdk.internal.loader.URLClassPath$JarLoader.getJarFile(URL) URLClassPath.java                                                                                         |      24    0%  |              0  |        1  |
|  jdk.internal.loader.URLClassPath$JarLoader$1.run() URLClassPath.java                                                                                                 |      24    0%  |              0  |        1  |
|  jdk.internal.loader.URLClassPath$JarLoader$1.run() URLClassPath.java                                                                                                 |      24    0%  |              0  |        1  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                                       |      21    0%  |              0  |        4  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                                    |      21    0%  |              0  |        4  |
|  java.lang.invoke.MethodHandleNatives.linkCallSite(Object, int, Object, Object, Object, Object, Object[]) MethodHandleNatives.java                                    |      21    0%  |              0  |        4  |
|  java.lang.invoke.MethodHandleNatives.linkCallSiteImpl(Class, MethodHandle, String, MethodType, Object, Object[]) MethodHandleNatives.java                            |      21    0%  |              0  |        4  |
|  havlak.SimpleLoop.getNestingLevel()                                                                                                                                  |      19    0%  |             19  |        2  |
|  com.yourkit.probes.builtin.Files.writeOnEnter(FileOutputStream, int) a                                                                                               |      19    0%  |              0  |        2  |
|  com.yourkit.probes.builtin.Files$FileOutputStream_write_arrayRange_Probe.onEnter(FileOutputStream, int) a                                                            |      19    0%  |              0  |        2  |
|  com.yourkit.probes.Table.createRow(int) a                                                                                                                            |      19    0%  |              0  |        2  |
|  havlak.UnionFindNode.getDfsNumber()                                                                                                                                  |      19    0%  |             19  |        2  |
