# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 6921317673
#
# Overhead        Period  Command          Shared Object         Symbol                                                                                                                                                                                     
# ........  ............  ...............  ....................  ...........................................................................................................................................................................................
#
     1.30%      89887131  java             libjvm.so             [.] SymbolTable::do_lookup
     1.06%      73284552  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::Split
     0.93%      64632491  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::elide_copy
     0.89%      61302283  C2 CompilerThre  libjvm.so             [.] IndexSetIterator::advance_and_next
     0.81%      56106465  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::build_loop_early
     0.79%      54815533  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::gather_lrg_masks
     0.67%      46145571  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::interfere_with_live
     0.65%      44907355  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::build_loop_late
     0.63%      43860374  C2 CompilerThre  libjvm.so             [.] PhaseLive::compute
     0.63%      43414055  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::Dominators
     0.55%      37930976  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::build_loop_late_post_work
     0.50%      34828983  C1 CompilerThre  libjvm.so             [.] LinearScan::allocate_registers
     0.50%      34577095  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::post_allocate_copy_removal
     0.49%      34199707  C1 CompilerThre  libjvm.so             [.] resource_allocate_bytes
     0.49%      33632589  C2 CompilerThre  libjvm.so             [.] Unique_Node_List::remove
     0.49%      33591721  C2 CompilerThre  ld-linux-x86-64.so.2  [.] __tls_get_addr
     0.47%      32381806  C1 CompilerThre  [JIT] tid 160376      [.] 0x00007f02396cf099
     0.45%      31178401  C1 CompilerThre  libjvm.so             [.] LinearScanWalker::alloc_free_reg
     0.43%      29703165  C1 CompilerThre  libjvm.so             [.] LinearScan::build_intervals
     0.43%      29463068  C2 CompilerThre  libjvm.so             [.] NodeHash::hash_find_insert
     0.42%      29327335  C1 CompilerThre  ld-linux-x86-64.so.2  [.] __tls_get_addr
     0.40%      28021376  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::split_if_with_blocks
     0.40%      27536865  C2 CompilerThre  libjvm.so             [.] PhaseAggressiveCoalesce::insert_copies
     0.38%      26069583  C2 CompilerThre  libjvm.so             [.] Dict::Insert
     0.38%      26033941  C1 CompilerThre  libjvm.so             [.] LinearScan::assign_reg_num
     0.35%      23920351  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::get_late_ctrl_with_anti_dep
     0.33%      23032345  java             ld-linux-x86-64.so.2  [.] _dl_update_slotinfo
     0.33%      22870879  java             libjvm.so             [.] InstanceKlass::find_method_index
     0.33%      22576472  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::build_loop_tree
     0.32%      22358855  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::build_ifg_physical
     0.32%      22048783  java             [kernel.kallsyms]     [k] clear_page_rep
     0.31%      21173546  java             libjvm.so             [.] Rewriter::scan_method
     0.30%      21022137  C1 CompilerThre  libjvm.so             [.] LIR_OpVisitState::visit
     0.30%      20418010  C2 CompilerThre  libc.so.6             [.] __memset_avx2_unaligned_erms
     0.29%      20324959  java             libjvm.so             [.] ClassVerifier::verify_method
     0.29%      20217160  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::is_dominator
